size_sqft,bedrooms,price
1659.0142459033698,2,864521.8642886414
1468.5207096486447,1,722252.749263233
1704.3065614302077,5,939413.703910365
1966.9089569224075,2,783330.939323202
1439.7539875829991,1,722315.7976322112
1439.758912915246,5,841202.1109907624
1983.7638446522174,4,929503.7870363912
1740.2304187458726,2,903719.6878028333
1369.1576842195143,4,814178.5942946938
1672.7680130757894,3,842036.6961771463
1370.9746921562614,5,839552.9146526306
1370.281073928923,5,727999.9510582994
1582.5886814698101,2,774559.3096971428
936.0159266026607,5,696469.4598528558
992.5246502460901,3,761731.9138702739
1341.3137412277083,5,868436.766123556
1206.150663899673,1,806705.745244557
1604.2741997785822,4,871551.4634347372
1237.5927773436367,3,803447.1281979326
1086.3088895994126,3,744293.1339856435
1949.6946306764662,4,890972.6836369649
1442.2671098540393,4,776423.7479695324
1530.2584614063771,3,773678.0697412402
1082.575544135963,4,700015.7274524451
1346.6851826424452,2,801647.6986444765
1543.2767769129598,4,821392.5655273423
1164.7019267733092,1,695704.6722695434
1622.7094055037016,1,726001.182152461
1329.8083930243586,2,732838.6016498281
1422.491875062017,4,804564.3162231621
1329.488016331181,1,692851.4624900038
2065.6834553526814,5,1053222.8594874362
1505.9508325786198,4,777457.2375473157
1192.68672131323,2,790787.0995798655
1756.7634736309567,4,871396.4976292984
1143.7469050086934,3,728215.7730210847
1572.6590785014266,3,818101.4045935012
922.0989628360674,1,681540.2427980104
1111.5441853304708,3,754138.6044247528
1569.058370760737,2,773153.3675563926
1731.539973998623,1,849050.0285384174
1561.4104843569912,2,799881.5980807513
1475.305515283528,2,742304.4872525587
1419.6688913232133,3,783427.1047140113
1066.4434028897717,3,793747.4389700101
1294.0467374815873,2,771705.6323167775
1371.8083687120638,3,792108.2342910626
1827.1366678656748,3,857976.3477702438
1613.0854868705385,3,822591.158045342
981.0879533911798,4,745400.0179366115
1607.2251908184385,2,808681.2857500706
1394.475315875105,5,844170.0318047
1306.9233999082123,2,778176.529273108
1693.5028866522603,1,772111.6392140319
1819.2998567487853,3,893588.8887434999
1789.3840357348595,3,828905.3115910047
1258.2347430332084,5,761653.2630863894
1417.2362872446356,1,769091.814849048
1609.3790294210692,4,860016.5670048671
1802.6635381367078,2,879076.4691540846
1366.247728646413,4,719671.2080581393
1454.3023070008549,1,808344.3147031366
1178.0995077981916,5,803564.3929725745
1151.1380127757989,1,693160.7715371463
1753.7577467182593,5,881223.3589638926
1916.8720085712469,4,912960.9298771461
1488.3969635258998,4,688320.2506638872
1811.0598693676072,1,790949.7852025025
1618.4908075142903,1,852779.3551307023
1316.4640736184626,3,757868.3267841904
1618.4186816525241,5,862878.5016235419
1971.410969939791,3,895188.0417103205
1499.2521882670146,2,828451.5047495742
1979.3930967442018,2,870025.0846593924
724.0764687730767,1,632447.3750615217
1756.5707513125672,4,883805.8268253722
1536.1141204714513,2,840366.5692281714
1420.2977948602397,2,832177.0315527725
1537.5282329606507,3,808996.1825207889
913.7293256197322,3,689835.4891689058
1444.0984336487463,2,784087.3573324464
1617.1337714535239,1,859485.8074215353
1953.3682134224548,3,927737.9434263809
1354.5189345179058,2,754622.895581036
1267.4519191320437,4,723579.5004415433
1359.472886924639,3,833983.8743534316
1784.6206353106222,2,900001.7197869194
1608.6253328979053,5,820115.8803097534
1351.0719388698883,3,770384.8549750887
1663.9802299340067,5,909577.3135985666
1539.1232648044122,3,837474.164375898
1800.5934971598667,3,789334.3120192422
1299.3840718367942,5,763767.7160382764
1411.7013560206694,1,792371.1246069168
1392.3675540603526,2,790594.4873860988
1070.9455155603644,1,734410.6125570633
1598.836083119373,1,834013.1861943123
1588.3165816539668,2,825565.2944016615
1511.5340369927383,4,848891.2638221544
1439.623859987456,1,751348.8104460423
1085.3887773848758,1,714939.7765227987
1383.8064031703923,1,776623.752627065
1407.185645041969,4,881531.6917172635
1269.3168192335143,3,740493.5885869864
1461.6142865001973,5,867044.426500246
1631.2152570443616,5,863996.5241133141
2075.855770363159,4,963441.6851442596
1562.3733438495517,1,791412.5053198911
1587.2651172168294,5,907803.9268802215
1487.6662252701499,4,798078.1334476202
934.3686354102875,2,703874.9917748114
1502.045837365235,5,862943.0897209236
1528.069062982308,2,777799.5541883515
2248.972633745586,1,932000.910567848
1452.2917105656632,5,876689.3681356362
1600.4642027000837,4,845398.8116355009
1499.586469088427,3,844944.9670508548
1159.3965887141403,5,756719.3695320275
1852.8468443545062,5,864654.5751621479
1735.5799098060322,5,915223.4038610244
1747.309584112914,5,867148.3034600174
1237.1837635615784,4,715624.3160603143
1930.8382932808297,4,877140.9112125112
1089.4446811623156,3,795003.1925197034
1686.0571281400812,4,905900.9520403425
2167.1366877429937,4,905267.7929913657
1212.8391024607936,1,674843.6402916878
1340.1106811191685,1,739850.494493231
1539.8954095262923,2,848799.5439472897
1358.9573037651403,3,781782.9706362713
1044.8009706801602,1,695567.9513318823
1530.5688924418082,3,795937.0864065787
1191.3088858821684,3,748574.7691898297
1652.0777291905545,5,906270.3206711669
1234.172729729859,3,770561.3935914336
1974.9803215052618,5,922421.9399736294
1275.0240122991288,2,785531.9109132753
1413.3815451382973,2,787272.4200383188
1754.055165210901,2,883739.197432304
1140.7407050698134,5,753132.8259669056
1578.237980381239,5,869965.6324140636
1902.1428262847285,2,907888.5728432529
1027.7550296316317,5,822130.7228653706
1565.3901575596913,4,798024.1882029492
1587.964838274527,4,838884.7913427118
1744.5468615331931,5,836381.2377799918
1138.9147867365755,5,741212.62793703
